advertising_spend,store_location,hours_open,promotion_active,local_population,weekly_sales
8420,Suburban,77,Yes,39929,51478
7729,Suburban,71,Yes,120952,59886
4520,Suburban,86,Yes,43450,47422
2216,Rural,62,No,26044,19365
1653,Rural,69,No,34380,18457
5053,Urban,86,No,116993,54629
4862,Urban,85,No,110621,55701
5348,Urban,85,No,152909,53248
2206,Rural,67,No,28239,20651
8331,Suburban,80,Yes,50978,55127
5581,Urban,82,No,139513,53822
7373,Urban,91,No,175897,62503
1185,Rural,78,No,41327,19452
3155,Suburban,72,No,31298,25072
3801,Urban,86,No,144494,51980
4883,Suburban,81,No,101067,43504
4258,Urban,88,Yes,110198,58619
4009,Rural,62,Yes,18405,23631
3405,Rural,55,Yes,14440,23015
2231,Suburban,80,No,80265,36171
3162,Rural,62,No,23353,20361
4932,Suburban,82,No,104286,45422
2535,Rural,77,Yes,8919,29279
5962,Suburban,72,Yes,60613,43437
4387,Urban,76,No,114803,42954
6981,Urban,86,No,191649,57713
6226,Urban,88,No,166231,57791
834,Suburban,73,No,82158,29705
7486,Urban,86,No,121804,54977
6567,Urban,88,No,155898,53383
5746,Urban,85,No,182476,55418
6672,Urban,87,No,161470,57979
4456,Suburban,85,No,110285,48240
5116,Suburban,57,Yes,62005,40386
3487,Suburban,77,No,87959,37178
7048,Urban,91,Yes,152163,76614
4533,Suburban,66,No,119014,36205
4036,Suburban,83,No,95454,44611
5930,Urban,104,Yes,165654,77124
1257,Rural,67,No,47478,18427
6338,Urban,84,Yes,150526,65969
5542,Suburban,66,No,60738,31914
6796,Urban,86,No,113056,55958
4707,Urban,79,Yes,144710,65676
1645,Rural,60,No,16119,10994
5153,Urban,87,No,134045,59060
2140,Urban,76,No,139940,42189
2563,Suburban,76,No,90915,34744
3129,Rural,65,No,47806,25646
2710,Suburban,76,Yes,65864,33676
4383,Suburban,76,Yes,79749,38483
6380,Urban,92,Yes,162510,73764
1425,Rural,60,No,27116,12850
8302,Urban,96,Yes,139793,77373
2523,Urban,71,No,133372,40523
3408,Suburban,65,Yes,57556,32249
6794,Suburban,78,Yes,33204,41968
2127,Urban,97,No,87653,41109
5001,Suburban,73,No,33150,28502
2240,Rural,61,No,32566,19858
4031,Rural,64,Yes,9454,25186
2886,Suburban,70,Yes,84077,39924
3972,Suburban,94,Yes,93731,53935
4081,Urban,76,No,132076,42202
3736,Suburban,74,Yes,72852,37150
6136,Urban,84,No,121082,51243
4626,Urban,78,No,151055,43932
3405,Suburban,82,No,62866,29328
6111,Urban,73,No,99869,40160
1463,Rural,63,Yes,33077,18267
1213,Rural,68,No,42799,16543
4019,Suburban,66,No,80060,35251
4341,Urban,98,Yes,186828,66809
3397,Suburban,82,No,71575,34012
2486,Suburban,84,No,88459,32685
2670,Rural,57,Yes,27261,22022
3547,Suburban,82,Yes,57323,34127
5865,Urban,80,Yes,91230,54087
7252,Urban,78,No,173590,54185
4043,Suburban,78,No,45954,33808
2709,Suburban,85,No,76728,33290
4323,Urban,84,No,154029,52601
6936,Urban,71,Yes,164447,58579
3316,Suburban,73,No,67868,33173
1915,Suburban,81,No,116091,42943
4636,Suburban,72,No,85852,36658
2411,Rural,63,No,7000,16596
5898,Suburban,78,No,53555,34009
7654,Urban,81,No,90499,43922
2259,Rural,66,No,22310,18906
3266,Rural,69,Yes,11435,25243
6186,Urban,78,No,137459,51760
4909,Suburban,75,Yes,48592,39233
5653,Suburban,71,Yes,101436,53125
7344,Suburban,59,Yes,51957,47558
4309,Rural,69,No,13732,23783
1073,Rural,62,No,25476,11919
5093,Suburban,81,Yes,52964,43147
3137,Suburban,70,Yes,68833,36080
500,Rural,72,No,25566,14517
5272,Suburban,77,No,31829,29326
5870,Suburban,79,No,102994,45803
4788,Suburban,70,Yes,88673,51220
4121,Urban,78,Yes,126683,53267
4442,Urban,82,No,176229,53812
5698,Urban,81,No,155476,52888
3175,Rural,56,Yes,20137,21435
4476,Suburban,72,No,106405,36976
5388,Urban,80,No,140887,53146
2754,Rural,69,No,46051,21078
6298,Suburban,80,No,99665,42842
1555,Rural,64,No,30893,16234
7258,Urban,81,Yes,128641,66912
3997,Suburban,82,No,98999,45958
3865,Rural,59,No,44878,22726
2859,Rural,66,Yes,45055,32076
6694,Urban,91,Yes,147116,75320
4844,Suburban,97,No,37447,38225
5179,Suburban,71,No,87580,36581
3966,Suburban,84,Yes,58750,34390
4466,Urban,93,Yes,189146,62476
6720,Suburban,74,No,54975,34141
4119,Suburban,72,No,66084,36824
6416,Suburban,78,Yes,27853,44382
3219,Rural,65,Yes,7000,22083
3860,Rural,60,No,24275,20885
6057,Urban,84,Yes,104189,56810
5755,Urban,87,No,104441,50217
4939,Suburban,66,Yes,35650,40374
5930,Urban,80,No,150312,55053
5384,Suburban,78,Yes,56953,45875
3856,Suburban,65,Yes,72184,35761
6558,Suburban,72,No,131021,39722
2373,Rural,71,No,16147,19427
2803,Suburban,72,No,102952,32625
2954,Rural,80,No,12934,21139
4924,Suburban,72,Yes,81347,46808
4695,Urban,72,No,174522,43879
2322,Rural,74,No,20682,22850
1495,Suburban,73,No,88190,30290
6411,Urban,89,Yes,111761,69302
5878,Urban,90,No,116034,56794
5854,Suburban,74,Yes,43056,44203
5543,Suburban,69,No,63097,33816
2969,Rural,63,No,36519,23001
6212,Urban,86,No,104392,51125
5061,Urban,83,No,86177,38469
2693,Rural,62,Yes,14094,23408
3559,Rural,73,Yes,22656,27622
5111,Suburban,72,No,46250,31424
4068,Suburban,76,No,45514,31446
4477,Urban,64,No,81371,32603
8473,Urban,83,Yes,153600,75759
7395,Suburban,66,Yes,75684,51657
3110,Rural,62,Yes,7000,21188
3917,Suburban,77,No,94831,34823
8173,Urban,77,No,173288,51716
4490,Suburban,80,No,39258,28822
3269,Urban,94,No,171406,60834
7617,Urban,83,Yes,88073,56363
4090,Urban,79,No,95703,44050
4901,Urban,95,No,160493,58323
5455,Suburban,87,Yes,94552,60764
6302,Urban,71,No,99110,39571
4736,Suburban,74,No,69389,36351
4457,Urban,88,Yes,154167,56976
1947,Rural,60,No,36590,16157
7826,Urban,88,Yes,79442,58880
2114,Rural,63,Yes,34133,24866
7524,Urban,90,Yes,147874,77793
5828,Suburban,76,Yes,68081,50159
8016,Urban,79,Yes,159643,68174
4480,Urban,105,No,165683,63611
1891,Suburban,81,No,66488,32553
6462,Urban,96,Yes,127493,72864
5801,Urban,78,Yes,164555,58738
5028,Suburban,72,No,109879,40990
4636,Suburban,79,Yes,111629,58160
3999,Urban,87,No,134071,52379
6924,Urban,75,No,132573,49493
2469,Suburban,80,No,109485,40680
