age,thrill_seeking_score,likes_scary_movies,fear_of_heights,likes_roller_coasters
47,1000,Yes,Low,Yes
12,757,Yes,Low,Yes
63,556,Yes,Low,Yes
42,780,No,Low,Yes
20,610,Yes,High,Yes
65,505,Yes,High,Yes
17,724,Yes,Low,Yes
70,357,No,High,No
36,1000,Yes,Low,Yes
35,792,Yes,Low,Yes
45,768,Yes,Low,Yes
66,809,Yes,Medium,Yes
37,695,Yes,Low,Yes
70,258,No,High,No
44,309,No,High,No
65,573,Yes,Medium,No
63,708,Yes,Medium,Yes
31,608,No,High,No
56,842,No,Low,No
65,480,No,Medium,No
46,335,No,High,Yes
31,610,Yes,Low,Yes
25,628,No,Medium,No
16,606,Yes,High,Yes
31,403,No,Medium,Yes
55,470,Yes,Medium,No
35,894,Yes,Low,Yes
35,431,No,Low,No
52,632,No,High,Yes
51,285,Yes,Medium,No
19,900,Yes,Low,Yes
55,494,Yes,Medium,No
12,633,Yes,Low,Yes
31,897,Yes,Low,Yes
18,622,No,Low,No
23,598,Yes,Medium,Yes
22,790,Yes,Low,Yes
29,571,Yes,Medium,No
39,857,Yes,Low,No
67,488,No,Medium,No
46,518,No,Low,No
41,823,Yes,Low,Yes
42,823,Yes,Low,Yes
18,511,Yes,Medium,No
31,868,Yes,Low,Yes
59,692,No,Medium,No
24,386,No,Medium,No
16,811,Yes,Low,Yes
33,401,Yes,High,Yes
34,811,Yes,Medium,Yes
42,664,Yes,Low,Yes
36,626,No,Medium,Yes
51,367,No,High,Yes
26,682,Yes,Low,Yes
34,825,Yes,Low,Yes
69,426,No,High,No
59,369,No,Medium,Yes
13,1000,Yes,Low,Yes
35,356,No,High,No
59,686,Yes,High,No
30,785,Yes,Low,Yes
22,784,No,Low,Yes
64,134,No,High,No
26,582,No,Low,No
20,690,Yes,Medium,Yes
14,395,Yes,Low,Yes
47,718,Yes,Medium,Yes
45,298,Yes,Low,Yes
50,305,No,High,No
27,872,Yes,Low,No
58,121,No,High,No
27,519,No,Low,Yes
61,591,Yes,Medium,Yes
12,1000,No,Low,Yes
30,873,Yes,Medium,Yes
54,705,Yes,Medium,No
31,977,Yes,Low,No
69,539,No,High,No
26,714,Yes,Medium,Yes
37,483,Yes,High,No
48,756,No,Low,Yes
70,599,No,High,No
18,438,No,Low,Yes
12,780,Yes,Low,Yes
12,980,Yes,Low,Yes
31,430,No,Medium,No
26,631,No,Low,No
59,241,No,High,No
59,212,Yes,High,No
68,215,No,High,No
47,623,No,Medium,Yes
64,567,No,Medium,Yes
26,557,No,Medium,Yes
37,722,Yes,Medium,No
56,611,Yes,High,No
34,436,No,High,No
46,708,Yes,Medium,No
24,411,No,Medium,Yes
43,284,No,High,No
22,539,Yes,Medium,No
58,802,Yes,Low,No
16,576,Yes,High,Yes
30,794,Yes,Medium,Yes
51,484,Yes,Medium,No
60,653,Yes,Low,Yes
16,355,No,High,No
30,710,Yes,Low,No
63,543,Yes,Low,No
56,384,No,High,No
14,684,Yes,Low,Yes
29,496,No,Low,Yes
53,683,No,Low,Yes
65,786,Yes,Low,Yes
62,375,No,High,No
14,887,Yes,Low,Yes
25,204,No,Medium,No
31,494,Yes,High,No
33,324,No,High,No
54,826,Yes,Low,Yes
30,760,Yes,Low,Yes
65,395,No,Medium,No
17,866,Yes,Low,No
18,786,Yes,Low,Yes
14,719,Yes,Low,Yes
47,688,Yes,Low,Yes
67,514,Yes,High,No
56,714,Yes,Low,Yes
41,633,Yes,Low,Yes
62,397,No,High,No
24,583,Yes,Low,Yes
21,521,Yes,Low,Yes
49,496,Yes,High,No
53,409,No,High,No
14,673,Yes,Low,Yes
46,156,No,High,No
61,713,No,Low,Yes
43,801,Yes,Low,Yes
24,946,Yes,Low,Yes
68,375,No,High,No
22,824,Yes,Low,Yes
26,811,Yes,Low,Yes
64,393,No,High,No
30,727,Yes,Low,Yes
15,699,Yes,Medium,Yes
59,427,Yes,Medium,No
64,579,No,Medium,No
26,561,Yes,Medium,Yes
66,411,No,High,Yes
29,630,No,Medium,Yes
20,738,Yes,Low,Yes
44,565,Yes,High,No
15,718,Yes,Low,Yes
21,551,No,Medium,Yes
39,430,No,High,Yes
64,657,Yes,Low,Yes
29,563,Yes,High,No
70,355,Yes,High,No
23,666,Yes,Low,No
59,426,Yes,Medium,No
54,717,No,Low,No
48,436,Yes,High,No
42,467,No,Medium,Yes
37,729,Yes,Low,Yes
23,806,Yes,Low,Yes
29,275,Yes,High,No
48,477,No,High,No
57,813,Yes,Medium,Yes
61,748,Yes,Low,Yes
17,677,No,Low,Yes
33,333,No,High,No
38,500,No,Medium,No
26,622,No,Medium,Yes
52,236,No,High,No
48,346,No,High,No
12,631,Yes,High,Yes
15,982,Yes,Low,Yes
67,603,Yes,Medium,Yes
52,656,Yes,High,No
29,767,Yes,Low,Yes
52,404,No,High,No
69,322,Yes,High,No
64,586,Yes,Medium,No
64,857,Yes,Medium,Yes
67,669,Yes,Medium,No
51,485,Yes,Medium,Yes
27,492,Yes,High,No
54,398,No,High,No
36,681,Yes,Medium,No
15,691,Yes,Medium,Yes
60,435,Yes,Medium,No
54,821,Yes,Low,Yes
68,736,Yes,Low,Yes
62,444,No,High,No
41,602,Yes,Medium,No
67,421,No,High,No
66,763,No,Medium,Yes
30,435,No,Medium,No
20,815,Yes,Low,Yes
14,795,No,Low,Yes
40,377,No,Medium,No
