hours_studied,good_sleep,attendance,practice_problems,exam_score
3.6,Yes,95,17,82
5.5,No,84,17,76
3.6,No,76,20,76
8.2,No,85,21,84
3.4,Yes,79,13,81
3.3,Yes,89,18,77
5.3,Yes,89,14,90
7.6,Yes,73,19,68
0.7,No,78,5,53
4.0,Yes,80,21,83
10.4,Yes,77,29,77
8.5,Yes,92,20,99
6.5,Yes,100,21,85
2.0,Yes,79,8,72
5.1,No,86,15,76
4.0,No,83,24,63
1.0,Yes,75,0,58
3.2,Yes,100,8,74
4.4,Yes,71,13,68
8.0,No,55,13,54
6.1,Yes,79,24,63
5.3,No,78,17,57
7.6,Yes,95,13,100
2.3,Yes,82,14,70
3.8,Yes,93,11,85
6.4,No,78,22,76
8.8,Yes,88,17,99
7.5,Yes,88,22,88
4.9,Yes,85,13,81
3.1,No,68,17,66
1.9,Yes,72,0,68
6.6,No,90,19,68
6.2,No,89,7,72
4.1,Yes,57,19,58
8.6,Yes,90,22,99
8.1,No,86,25,71
3.7,No,80,10,65
5.0,Yes,86,9,84
4.4,No,100,14,90
8.9,No,86,18,80
2.9,Yes,90,25,91
6.9,Yes,82,23,88
6.1,Yes,81,17,85
2.8,Yes,88,17,65
4.8,Yes,82,16,86
6.2,No,77,15,74
8.9,No,100,25,90
1.4,Yes,96,8,63
0.5,Yes,95,17,68
5.7,Yes,89,26,83
8.8,Yes,90,30,97
5.0,No,85,20,77
7.0,No,78,20,75
3.3,No,94,13,78
3.4,Yes,73,13,59
7.2,Yes,94,28,80
5.9,No,65,13,48
5.5,No,85,9,87
2.9,Yes,83,8,73
9.5,No,87,29,93
6.1,No,81,16,75
6.7,No,89,22,86
9.7,Yes,91,28,100
0.9,No,92,11,45
4.4,Yes,85,15,73
8.5,Yes,93,17,88
4.7,Yes,93,11,81
1.2,Yes,89,2,64
4.6,Yes,100,16,83
8.1,Yes,79,27,79
8.9,Yes,92,23,100
5.0,Yes,79,10,79
2.4,No,86,9,71
3.2,Yes,86,8,70
3.0,Yes,88,11,68
7.3,Yes,85,24,92
9.7,Yes,82,32,85
6.1,No,97,7,81
6.6,Yes,89,27,82
7.1,Yes,97,17,94
7.2,No,88,25,82
8.9,No,95,24,100
6.2,No,90,18,66
9.3,Yes,100,31,90
1.4,Yes,98,11,72
6.7,Yes,87,13,81
5.3,No,79,17,66
1.9,Yes,83,7,58
2.1,Yes,89,12,68
4.0,Yes,73,19,75
4.9,Yes,100,16,89
4.0,No,93,8,72
5.1,No,83,12,71
9.2,Yes,88,27,94
11.4,Yes,99,28,100
6.8,No,89,15,66
5.6,No,75,19,68
3.5,Yes,85,16,84
5.0,No,79,23,67
3.9,No,80,17,70
4.1,No,81,15,68
7.1,Yes,69,12,57
7.2,Yes,94,19,87
2.8,Yes,88,0,62
8.8,Yes,81,21,71
7.8,Yes,100,18,100
3.9,Yes,86,13,79
2.9,Yes,83,14,61
3.4,No,78,12,63
8.5,Yes,73,18,60
6.8,Yes,78,13,71
7.0,Yes,82,28,90
7.7,No,92,18,89
8.0,Yes,80,17,81
0.0,No,93,11,52
7.0,Yes,82,26,95
9.1,Yes,81,32,100
4.2,Yes,98,19,83
6.3,Yes,73,22,65
0.6,No,79,0,51
5.7,Yes,100,17,79
5.6,Yes,80,13,71
5.6,Yes,87,17,70
6.3,No,93,16,83
4.7,Yes,75,13,72
4.9,Yes,88,14,79
7.0,No,88,30,70
9.5,Yes,97,31,100
6.1,Yes,91,21,82
5.7,Yes,80,20,73
6.3,Yes,93,9,82
4.8,Yes,87,16,78
2.5,Yes,98,11,76
6.9,Yes,79,26,80
4.3,Yes,87,14,74
6.5,Yes,94,23,80
5.7,Yes,97,17,76
0.1,Yes,92,0,54
3.5,Yes,74,22,73
10.1,Yes,99,15,100
4.2,No,69,14,59
9.4,No,89,23,81
8.1,No,90,28,86
7.6,No,85,27,86
7.0,Yes,97,24,97
5.5,Yes,84,21,84
4.6,Yes,85,21,86
5.4,Yes,84,18,73
7.5,Yes,87,20,79
4.1,No,96,21,82
4.2,Yes,81,14,87
8.6,Yes,100,20,91
5.5,No,79,8,64
6.6,Yes,92,28,100
7.9,Yes,95,19,91
8.9,Yes,97,20,100
0.0,No,68,0,30
7.0,Yes,78,17,70
8.3,Yes,84,21,85
8.5,Yes,77,28,89
8.2,Yes,93,13,91
2.7,No,75,15,58
6.3,No,87,23,84
8.7,Yes,100,17,89
2.1,No,78,10,64
4.5,No,80,9,61
7.5,No,100,35,100
5.6,Yes,93,10,81
6.3,Yes,98,21,97
6.0,Yes,87,24,90
5.1,No,92,4,83
2.2,Yes,100,13,76
2.1,Yes,85,7,59
4.9,Yes,81,7,71
8.3,Yes,97,29,95
7.3,Yes,97,18,98
2.0,No,90,2,58
10.0,No,100,25,95
4.4,No,87,8,75
3.0,Yes,77,13,71
3.9,Yes,84,11,75
0.2,No,79,8,31
1.8,No,82,12,64
7.7,No,93,15,94
5.9,Yes,92,16,88
6.3,No,83,19,66
3.4,Yes,86,19,79
6.7,Yes,84,20,87
6.4,Yes,80,14,64
8.8,Yes,81,23,83
5.6,Yes,77,16,68
3.8,No,89,17,82
2.9,Yes,82,13,66
7.6,Yes,79,29,87
5.6,Yes,100,18,86
5.4,Yes,87,9,81
7.0,Yes,86,9,87
4.0,Yes,89,21,86
5.9,Yes,86,20,66
1.5,No,78,9,50
6.9,Yes,88,14,83
3.6,Yes,100,14,90
1.7,No,79,8,51
3.6,Yes,83,13,57
4.3,Yes,87,11,70
5.0,No,79,10,69
8.8,No,86,17,93
10.4,Yes,93,31,87
6.3,Yes,100,16,88
7.4,Yes,71,9,51
4.9,Yes,78,8,59
7.1,Yes,92,20,89
2.1,No,99,4,77
2.6,Yes,95,1,58
3.0,No,73,4,70
7.7,Yes,84,23,78
5.9,No,93,16,73
5.7,Yes,89,14,75
4.2,Yes,83,16,73
7.2,Yes,93,8,85
5.0,Yes,86,11,78
4.6,No,85,7,72
7.1,No,92,19,84
4.4,Yes,90,13,71
6.1,Yes,72,19,84
9.0,Yes,94,19,87
3.6,No,79,5,69
0.2,No,84,7,49
2.0,No,93,15,67
1.8,Yes,82,4,80
7.1,Yes,90,11,91
7.1,Yes,86,21,72
2.2,Yes,76,9,65
4.8,Yes,88,20,71
6.6,No,91,17,78
2.5,Yes,72,13,65
7.2,No,76,27,75
6.3,Yes,85,25,88
4.6,No,81,24,70
4.7,Yes,85,14,65
6.6,No,72,21,76
2.4,No,91,0,68
1.6,Yes,92,13,69
10.4,Yes,96,34,98
